plant_id,plant_sp,host,length,width,height,vol_cub,vol_ell,ln.vol_cub,x,y,t0_length_b1,t0_length_b2,t0_length_b3,t1_length_b1,t1_length_b2,t1_length_b3,b1_growth,b2_growth,b3_growth,avg_growth,no_flwrs_b1,no_flwrs_b2,no_flwrs_b3,avg_no_flwrs,int_herb,cn_ratio,mas,slopes,no_chew_4,a_chew_herb,a_suck_herb,biomass,no_any,no_any_4,no_any_5,no_any_6,no_any_7,no_any_8,no_any_9,no_any_10,no_tim,no_grn_tim,no_str_tim,no_tim_gs,no_red_tim,mal,no_tim_4,no_tim_5,no_tim_6,no_tim_7,no_tim_8,no_tim_9,no_tim_10,no_art,no_art_4,no_art_5,no_art_6,no_art_7,no_art_8,no_art_9,no_art_10,no_herb,no_herb_4,no_herb_5,no_herb_6,no_herb_7,no_herb_8,no_herb_9,no_herb_10,no_art_herb,no_art_herb_4,no_art_herb_5,no_art_herb_6,no_art_herb_7,no_art_herb_8,no_art_herb_9,no_art_herb_10,no_carn,no_carn_4,no_carn_5,no_carn_6,no_carn_7,no_carn_8,no_carn_9,no_carn_10,no_lep,no_lep_4,no_lep_5,no_lep_6,no_lep_7,no_lep_8,no_lep_9,no_lep_10,rich_art,rich_art_4,rich_art_5,rich_art_6,rich_art_7,rich_art_8,rich_art_9,rich_art_10,con_2N,con_2N_A,con_2N_C,con_vol,con_vol_A,con_vol_C,con_tim,con_tim_A,con_tim_C,con_gp_A,con_gp_C,q2N_A,q2N_C,con_grn_A,con_grn_C,con_str_A,con_str_C,con_any,con_any4,con_any5,con_any6,con_any7,con_any8,con_any9,con_any10,con_tim4,con_tim5,con_tim6,con_tim7,con_tim8,con_tim9,con_tim10,con_art,con_art4,con_art5,con_art6,con_art7,con_art8,con_art9,con_art10,con_herb,con_herb4,con_herb5,con_herb6,con_herb7,con_herb8,con_herb9,con_herb10,con_art_herb,con_art_herb4,con_art_herb5,con_art_herb6,con_art_herb7,con_art_herb8,con_art_herb9,con_art_herb10,con_carn,con_carn4,con_carn5,con_carn6,con_carn7,con_carn8,con_carn9,con_carn10,con_lep,con_lep4,con_lep5,con_lep6,con_lep7,con_lep8,con_lep9,con_lep10
11,Ceanothus,C,96,84,108,870912,3648067.655,13.67729622,51.16123453,10.94866046,40,40,40,83,125,62,43,85,22,50,1,1,3,1.666666667,8,20.15889026,0,-0.040018216,19,NA,NA,0.382746052,34,26,22,18,17,16,15,13,5,4,1,5,0,0.8,5,5,5,5,5,5,5,29,21,17,13,12,11,10,8,24,20,20,17,16,15,14,12,19,15,15,12,11,10,9,7,3,2,2,1,1,1,1,1,14,14,14,12,11,10,9,7,17,10,9,7,6,6,5,5,0.320354991,1.433652029,0.320354991,3.812161113,11.75288446,3.812161113,2.036379738,0.399680852,2.036379738,0.210014089,1.245082752,0.525454468,0.611419731,0.208222305,1.240997602,0.12382038,0.787491694,7.287943896,5.984227895,4.820974331,3.905727175,3.382762682,3.197485851,2.98969639,2.574660222,2.029233975,2.029233975,2.009223379,2.009223379,2.009223284,2.001687935,1.767566469,5.256423184,3.95499392,2.791740356,1.896503795,1.373539303,1.188262567,0.988008454,0.807093752,5.165882622,4.625413263,4.158130464,3.590252687,3.32541479,3.16034697,2.957146199,2.544629214,3.13436191,2.596179288,2.128896489,1.581029308,1.316191411,1.151123685,0.955458264,0.777062745,0.770191411,0.678221008,0.313858613,0.20527021,0.046318545,0.028820456,0.02872986,0.02872986,1.312973538,1.312969972,1.308840808,1.165773943,1.009279275,0.871536812,0.683807049,0.634811669
12,Ceanothus,C,80,96,72,552960,2316233.432,13.22304095,48.2698866,5.42439774,40,40,40,40,62,70,0,22,30,17.33333333,1,2,3,2,12,22.25161295,0,0.08412814,13,NA,NA,0.1576443,30,28,24,18,15,13,13,12,6,4,2,6,0,0.666666667,6,6,6,6,6,6,6,24,22,18,12,9,7,7,6,18,17,15,14,14,13,13,12,12,11,9,8,8,7,7,6,4,4,2,1,1,0,0,0,7,7,7,7,7,7,7,6,19,17,14,10,8,6,6,5,0.436713057,0.276790175,0.436713057,5.317517528,2.346742221,5.317517528,2.512835742,0.086780474,2.512835742,0.033132823,1.241919815,0.381800435,0.494230401,0.032440435,1.193100931,0.037195922,1.218815726,10.50607747,8.033536527,6.765025405,5.944307877,5.07747369,4.780954824,4.299544942,3.946485687,2.43177714,2.43177714,2.41175715,2.41175715,2.411757053,2.292799294,2.154719908,8.074050411,5.601759387,4.333248265,3.532550727,2.665716541,2.369197771,2.006745647,1.791765779,7.530812897,6.702934552,6.122110554,5.578368964,5.029128165,4.740976137,4.264096316,3.918801475,5.098785836,4.271157412,3.690333414,3.166611815,2.617371015,2.329219085,1.971297022,1.764081567,0.831831071,0.524113059,0.279087945,0.166321455,0.027232234,0.026638628,0.02627177,0.02627177,2.526087554,2.526086573,2.525324102,2.433998789,2.256650173,2.076190931,1.815327759,1.630592437
13,Ceanothus,C,108,60,84,544320,2280042.284,13.20729259,48.92371124,11.11827999,40,40,40,95,74,86,55,34,46,45,4,2,0,2,9,20.34878872,0,0.201050046,12,NA,NA,0.074364957,25,22,17,14,13,13,12,10,9,6,3,9,0,0.666666667,9,9,9,9,9,9,8,16,13,8,5,4,4,3,2,20,18,16,13,13,13,12,10,11,9,7,4,4,4,3,2,3,3,1,1,0,0,0,0,3,3,3,2,2,2,1,1,12,9,5,3,3,3,2,1,0.361456311,1.310854627,0.361456311,4.455204943,11.4871117,4.455204943,1.80939716,0.719282819,1.80939716,0.523777585,1.209888144,0.728194211,0.668669196,0.513146251,1.205467253,0.195500363,0.595858275,9.488095347,7.623516889,6.571406632,5.28894511,4.611245367,4.269279612,4.045232856,3.51998077,1.803590921,1.803590921,1.794231809,1.794231809,1.794231533,1.786249209,1.58254478,7.683694589,5.819925968,4.767815711,3.494713301,2.817013559,2.475048079,2.258983647,1.93743599,6.494186247,5.812402846,5.636516355,4.956239165,4.424393531,4.109766206,3.896581135,3.375808963,4.68978549,4.008811925,3.832925434,3.162007357,2.630161723,2.315534673,2.110331927,1.793264183,0.860055352,0.650291863,0.470999071,0.194761019,0.165935288,0.143240538,0.142971922,0.142971922,3.125217505,3.125209715,3.121920272,2.852454212,2.557421818,2.276403594,2.084620381,1.769551628
14,Ceanothus,C,60,48,48,138240,579058.3579,11.83674658,46.31243617,6.41669549,40,40,40,115,110,81,75,70,41,62,3,2,1,2,2,21.04404877,0,-0.013375144,3,NA,NA,0.335746738,9,6,5,5,3,3,2,2,2,0,2,2,0,0,2,2,2,2,2,2,2,7,4,3,3,1,1,0,0,5,5,4,4,3,3,2,2,3,3,2,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,6,3,2,2,1,1,0,0,0.394028279,1.183139323,0.394028279,4.929839848,11.04087818,4.929839848,2.730227612,1.814271967,2.730227612,1.054467034,1.724788141,0.581206706,0.631737857,1.03757141,1.702753791,0.576904573,0.983719598,11.70427296,10.20110213,8.826788175,7.116784433,6.084261306,5.554901501,5.294134256,4.761421803,2.696781708,2.696781708,2.689286039,2.689286039,2.689285751,2.636765038,2.410366412,9.00735056,7.504320419,6.130006466,4.427498394,3.394975266,2.86561575,2.657369219,2.351055391,8.064432719,7.545968514,7.007447592,6.362569156,5.854875028,5.479955709,5.232212563,4.721215083,5.367510321,4.849186805,4.310665884,3.673283117,3.165588989,2.790669958,2.595447525,2.310848671,1.219846226,1.095078145,0.58284968,0.282970838,0.170576644,0.037861082,0.036809023,0.036809023,3.039829831,3.039827328,3.038576256,2.952553937,2.718716872,2.537486081,2.422028795,2.164294363
15,Ceanothus,C,60,84,120,604800,2533380.316,13.3126531,47.01099094,9.078493662,40,40,40,68,96,78,28,56,38,40.66666667,0,1,0,0.333333333,4,20.73072596,0,-0.025402005,14,NA,NA,0.595509275,26,23,21,16,13,12,12,10,6,4,2,6,0,0.666666667,6,6,6,6,6,6,4,20,17,15,10,7,6,6,6,18,18,18,16,13,12,12,10,12,12,12,10,7,6,6,6,2,2,1,0,0,0,0,0,8,8,8,8,7,6,6,6,14,12,10,6,4,3,3,3,0.381532633,0.753611171,0.381532633,4.605345922,7.515291971,4.605345922,2.213135373,1.251891432,2.213135373,0.750115452,1.322980245,0.599185706,0.597785504,0.711631061,1.313529539,0.480841893,0.882082074,8.752713422,7.276483967,6.0405077,5.05402032,4.353784539,4.111752705,3.743939965,3.333910382,2.201126194,2.201126194,2.193545578,2.193545578,2.193545155,2.174314797,2.073955074,6.551288314,5.075357774,3.839381507,2.860474742,2.160238961,1.91820755,1.569625169,1.259955308,6.150627072,5.582246148,5.046616284,4.456305172,4.192545253,4.022411784,3.670704917,3.274606873,3.949201964,3.381119954,2.84549009,2.262759594,1.998999675,1.828866629,1.49639012,1.2006518,0.973228347,0.766830978,0.401186734,0.263304648,0.11567097,0.057744068,0.056952527,0.056952527,1.940763987,1.940757784,1.938948202,1.740007828,1.610297893,1.525739498,1.234427148,1.036416375
16,Ceanothus,C,120,84,108,1088640,4560084.569,13.90043977,58.5349248,17.39356255,40,40,40,103,118,40,63,78,0,47,2,0,1,1,6,20.7613181,0,0,10,NA,NA,0.384295771,10,10,10,10,10,10,10,10,7,3,4,7,0,0.428571429,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.213921899,0.450083234,0.213921899,2.099690199,4.524785537,2.099690199,0.564075782,0.739071176,0.564075782,0.462940802,0.254728495,0.626381892,0.45158559,0.364002173,0.25244352,0.242294985,0.308299935,2.311665354,1.800419916,1.315215403,1.081722996,0.959218438,0.812040761,0.791255027,0.743891564,0.543589757,0.543589757,0.542769637,0.542769637,0.542769631,0.542676824,0.514583053,1.747646326,1.256830159,0.771625646,0.538953359,0.416448801,0.26927113,0.248578203,0.229308511,1.44871612,1.26503127,1.0958822,1.015448792,0.902101019,0.759227309,0.738886407,0.694322749,0.884697092,0.721441513,0.552292443,0.472679155,0.359331382,0.216457678,0.196209583,0.179739696,0.276563421,0.174572197,0.088326371,0.050201451,0.04693536,0.046785664,0.046784569,0.046784569,0.489744983,0.48973843,0.457222569,0.429871235,0.33656228,0.19917444,0.179372143,0.165642719
17,Adenostoma,A,24,16,18,6912,28952.9179,8.84101431,64.16641293,23.64355393,16,10,28,100,67,135,84,57,107,82.66666667,0,0,0,0,NA,27.35229455,0,0,2,1.5,3.5,0.005330029,3,2,2,2,2,2,2,2,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.206208594,0.269939438,1.10762864,10.08078488,2.863539393,9.523129966,0.804996293,1.224068981,0.914017586,0.854832867,0.659211547,0.698353508,0.72122414,0.746366424,0.655474253,0.329301407,0.235794925,2.70942518,2.426196335,2.135430602,1.851238617,1.597982105,1.52119952,1.407339748,1.242612578,0.803894638,0.803894638,0.803880074,0.803880074,0.803880073,0.803878571,0.757860077,1.904429771,1.622301697,1.331535964,1.047358544,0.794102032,0.717319447,0.603461177,0.4847525,2.076723119,2.01846421,1.91541363,1.710696509,1.534983791,1.45896256,1.345121623,1.180646941,1.27172771,1.214569572,1.111518993,0.906816436,0.731103717,0.655082487,0.541243051,0.422786864,0.235759216,0.131842052,0.068778371,0.062688425,0.061716162,0.061713592,0.061713569,0.061713569,0.943944263,0.94371557,0.914057277,0.794974992,0.706049061,0.630468415,0.540271679,0.421963293
18,Adenostoma,A,21,18,24,9072,38000.70474,9.112948026,63.36241714,23.8123522,26,32,30,47,152,113,21,120,83,74.66666667,0,0,0,0,NA,25.04043926,0,NA,0,1.5,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225127184,0.652951172,0.909303723,10.32354164,6.171931773,7.093491168,1.262931039,2.341958984,0.468691395,1.34365517,0.380808163,0.573731299,0.812492328,1.222871646,0.380090756,0.829495075,0.066232548,3.918350552,3.304842613,2.938125933,2.596607743,2.313650397,2.231503628,2.098901055,1.920363771,1.261830833,1.261830833,1.261814495,1.261814495,1.261814495,1.261812734,1.203300567,2.655420547,2.04301178,1.6762951,1.334793248,1.051835902,0.969689133,0.837088321,0.717063204,2.897047111,2.823280258,2.680461649,2.443397786,2.242965896,2.161863759,2.029288269,1.851028976,1.634117106,1.561449425,1.418630816,1.181583291,0.981151401,0.900049265,0.767475535,0.647728409,0.282733512,0.149388733,0.07932187,0.07040961,0.069060659,0.069057441,0.069057409,0.069057409,1.226985446,1.226758056,1.182834033,1.05134693,0.959427932,0.87878296,0.766088651,0.64655539
19,Ceanothus,C,20,16,20,6400,26808.25731,8.764053269,62.89982916,23.69970252,40,40,,95,75,,55,35,,45,0,0,,0,10,18.7612299,0,NA,1,NA,NA,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10762864,0.89542276,0.745369199,9.523129966,9.394911386,6.005090297,0.914017586,3.524653797,0.19785545,1.381491384,0.116168326,0.391950944,0.587137356,1.128437288,0.115547699,1.833234769,0.069180138,3.443668275,2.873848364,2.48400379,2.139129795,1.865290874,1.789127447,1.656753671,1.489822089,0.912813475,0.912813475,0.912794427,0.912794427,0.912794426,0.912792335,0.853657831,2.529651919,1.961034889,1.571190315,1.226335369,0.952496447,0.876333021,0.743961336,0.636164258,2.463930088,2.386755213,2.225019012,1.993339424,1.798727057,1.723830548,1.591491118,1.424874903,1.549913731,1.473941738,1.312205537,1.080544998,0.88593263,0.811036122,0.678698783,0.571217071,0.288940011,0.151525482,0.077130818,0.066156032,0.064636533,0.064632652,0.064632611,0.064632611,1.128694969,1.128492037,1.075484444,0.950889843,0.867330538,0.792939981,0.676946068,0.56973441
20,Adenostoma,A,32,20,16,10240,42893.2117,9.234056899,66.1333366,29.30220476,19,35,70,66,146,202,47,111,132,96.66666667,,,,,NA,22.3587572,0,NA,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.592025029,0.62261646,1.005369121,13.84188118,6.509220648,8.824168901,0.83684993,2.163332902,0.418135461,0.804203931,0.13008523,0.371743031,0.311107864,0.670124514,0.109957597,1.209325846,0.213252008,6.110304891,5.680248027,5.29488743,4.692536718,3.566988158,3.07432768,2.606174454,1.865863023,0.836794204,0.836794204,0.836793449,0.836793449,0.836793449,0.836793291,0.792003883,5.273455009,4.843453823,4.458093226,3.855743269,2.730194709,2.237534231,1.769381162,1.07385914,5.000622625,4.942621308,4.882362698,4.408817929,3.37059315,2.878154246,2.410003691,1.669726581,4.163772743,4.105827104,4.045568495,3.57202448,2.533799701,2.041360797,1.573210399,0.877722697,0.448165759,0.340667808,0.19974123,0.198064046,0.19610245,0.196101921,0.196101918,0.196101918,3.472809607,3.468458896,3.45886495,3.128698802,2.343928349,1.851555328,1.572967919,0.877506362
22,Adenostoma,A,24,12,36,10368,43429.37684,9.246479419,66.88536718,29.58003503,53,50,,141,153,,88,103,,95.5,,,,,NA,26.44902973,0,0,2,1.25,4.25,0.03171194,2,2,2,2,2,2,2,2,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1.46185225,1.386770605,0.741239973,12.43911389,14.54895082,7.137660484,0.586005042,4.395718443,1.026419888,1.548668192,0.445777849,0.352312873,0.434303596,1.21060282,0.422130847,2.450488664,0.571925682,4.044227802,3.743428101,3.440348663,3.008000217,2.21655928,1.876573296,1.47602891,0.942887975,0.58596123,0.58596123,0.585960669,0.585960669,0.585960669,0.585960549,0.555804741,3.458222796,3.157466871,2.854387433,2.422039548,1.630598611,1.290612627,0.890068361,0.387083234,3.231015327,3.185515464,3.145097729,2.801598115,2.084645526,1.744810409,1.344267817,0.811151417,2.64501032,2.599554234,2.559136499,2.215637446,1.498684857,1.15884974,0.758307268,0.255346676,0.346995906,0.273364756,0.134303279,0.133156534,0.131712249,0.131711869,0.131711867,0.131711867,2.091057991,2.085940599,2.079507413,1.832296235,1.291133167,0.951348661,0.758096893,0.255154084
23,Adenostoma,A,27,16,24,10368,43429.37684,9.246479419,66.14633721,27.77976098,55,35,27,94,109,20,39,74,-7,35.33333333,,,,,NA,NA,0,0,2,NA,NA,0.006145237,2,2,2,1,1,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,2,2,1,1,1,1,0,2,2,2,1,1,1,1,0,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,0,1,1,1,0,0,0,0,0,1.802386694,0.680986278,0.54230333,15.12319854,7.303917645,5.671929654,0.848212696,2.287046519,1.104709306,1.214745035,0.414707849,0.531141376,0.375399978,0.968675812,0.41101345,0.985109422,0.687970459,5.164048413,4.701528738,4.203581937,3.780808168,2.934713011,2.577078591,2.152228069,1.728711227,0.848097295,0.848097295,0.848095819,0.848095819,0.848095819,0.848095617,0.794995971,4.315835809,3.853431443,3.355484642,2.932712349,2.086617192,1.728982772,1.304132452,0.933715257,3.904231797,3.84355868,3.770012553,3.472320008,2.747562501,2.390182352,1.965335518,1.54186653,3.056019193,2.995461386,2.921915258,2.62422419,1.899466683,1.542086533,1.117239902,0.746870559,0.536485067,0.41727776,0.19026658,0.188227205,0.186797308,0.186796753,0.18679675,0.18679675,2.377844821,2.375804147,2.36380082,2.214146244,1.686987989,1.32968935,1.117002804,0.746667076
24,Adenostoma,A,48,8,18,6912,28952.9179,8.84101431,65.41526125,25.93485883,,,,,,,,,,,,,,,NA,27.75409787,0,NA,1,1,1.5,0.029102009,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.553343577,1.104436145,0.64047735,12.86237007,11.49592199,6.35399168,0.980905171,3.360814319,0.73152879,1.44097348,0.196181674,0.428757243,0.268180388,1.242662374,0.190621893,1.738943623,0.5334906,4.471547858,3.940720678,3.507122148,2.969482024,2.42610798,2.222516259,1.981144108,1.559089471,0.980595221,0.980595221,0.980591271,0.980591271,0.98059127,0.98059083,0.915980007,3.490642928,2.960125457,2.526526927,1.988890753,1.445516709,1.241924988,1.000553278,0.643109464,3.287939645,3.21679974,3.1178453,2.693138988,2.28229999,2.079110972,1.83774614,1.41578696,2.307034715,2.236204519,2.137250079,1.712547717,1.301708719,1.098519702,0.85715531,0.499806953,0.423193198,0.282685783,0.147774316,0.144418049,0.143208047,0.143207107,0.1432071,0.1432071,1.783103114,1.78231948,1.763116336,1.478349549,1.214668454,1.011638088,0.856762811,0.499476807
25,Adenostoma,A,24,9,24,5184,21714.68842,8.553332238,65.99923562,23.12876433,31,20,22,122,68,107,91,48,85,74.66666667,,,,,NA,29.11169362,0,NA,1,1.25,4,0.005673562,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94119826,1.337503005,0.687590594,7.557921487,13.98898427,6.811507011,0.72382026,5.178113965,0.935261034,1.623042512,0.342077013,0.313442795,0.365755655,1.375876887,0.326886133,3.096509022,0.590210767,2.137436129,1.840073657,1.677025886,1.513626836,1.32420314,1.272255031,1.197933873,1.085023092,0.722765135,0.722765135,0.722753946,0.722753946,0.722753945,0.722752885,0.700797891,1.413616493,1.117308521,0.954260751,0.79087289,0.601449194,0.549501085,0.475180988,0.384225201,1.596629053,1.566340313,1.520811037,1.396191651,1.286363515,1.234846383,1.160533474,1.047856051,0.872809417,0.843575178,0.798045901,0.673437706,0.563609569,0.512092438,0.43778059,0.34705816,0.143925652,0.094122949,0.040008523,0.037369194,0.036935458,0.036933888,0.036933877,0.036933877,0.692496874,0.692297017,0.680185162,0.600337652,0.535904742,0.484830632,0.437350516,0.346692164
26,Adenostoma,A,12,9,20,2160,9047.786842,7.677863501,66.17460162,26.14476457,,,,,,,,,,,,,,,NA,23.46234623,0,NA,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62531819,1.55908817,0.517769713,13.56632991,16.35318223,5.4493289,0.807444702,6.301691744,0.72368302,2.396271079,0.266575504,0.380258378,0.368359484,1.983738623,0.266429004,3.281771227,0.446406121,4.273729974,3.867508683,3.464969541,2.982554359,2.45670175,2.266251117,2.019691094,1.601701207,0.807194784,0.807194784,0.807191798,0.807191798,0.807191798,0.80719147,0.760018471,3.46628545,3.060313899,2.657774757,2.175362561,1.649509952,1.459059319,1.212499623,0.841682736,3.23592605,3.183112759,3.112518703,2.719678937,2.335887895,2.145722122,1.899167042,1.481251374,2.428481526,2.375917975,2.305323919,1.912487139,1.528696097,1.338530324,1.091975571,0.721232903,0.405258814,0.301996662,0.123622929,0.121318143,0.120376315,0.120375634,0.120375628,0.120375628,1.969746695,1.968842146,1.955677506,1.67269782,1.412870827,1.222832824,1.091700304,0.720999956
27,Adenostoma,A,12,8,24,2304,9650.972632,7.742402022,67.29499493,27.44710618,,,,,,,,,,,,,,,NA,22.84549499,0,NA,0,0.5,1,0.004204814,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.721681907,1.735908948,0.355618855,14.354215,18.45982438,3.735593295,0.570477262,6.831450562,0.459615464,2.253562569,0.306393207,0.329880535,0.666629456,1.870249867,0.183218778,3.9385932,0.149336237,3.72156763,3.448378526,3.28912236,2.837301637,2.269602172,2.062005002,1.688741862,1.227897093,0.570365399,0.570365399,0.570364118,0.570364118,0.570364118,0.570363963,0.54027956,3.151090444,2.878013128,2.718756961,2.266937519,1.699238055,1.491640885,1.118377899,0.687617533,3.052868209,3.016373283,2.974104246,2.592395303,2.166582284,1.959140602,1.585879781,1.12507238,2.482391023,2.446007884,2.403738847,2.022031185,1.596218166,1.388776484,1.015515818,0.584792821,0.179111284,0.11140166,0.104810446,0.103586681,0.102787666,0.102787303,0.102787301,0.102787301,1.964689138,1.962927809,1.955845739,1.656644916,1.346335231,1.138960477,1.015355839,0.584653599
28,Adenostoma,A,24,10,32,7680,32169.90877,8.946374826,67.23731492,28.35129501,,,,,,,,,,,,,,,NA,23.46272664,0,NA,0,1.5,2.25,0.0216,1,1,1,1,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1.757957322,1.723879409,0.55652519,14.5761346,17.69418148,5.965903627,0.561098152,5.808774857,0.715373467,2.035934537,0.281899944,0.350492933,0.394059826,1.726541313,0.256032894,3.241879887,0.431331033,4.078466662,3.797711097,3.384419214,2.916129617,2.266313806,2.005225192,1.855062099,1.342365197,0.561024128,0.561024128,0.561023247,0.561023247,0.561023247,0.56102312,0.531030421,3.517368563,3.23668697,2.823395086,2.355106371,1.705290559,1.444201945,1.294038979,0.811334776,3.162998179,3.124056293,3.082980099,2.692256565,2.150281857,1.889339264,1.739178166,1.226510673,2.60190008,2.563032165,2.521955972,2.131233318,1.58925861,1.328316017,1.178155046,0.695480252,0.443102298,0.373889024,0.11795773,0.116813529,0.115825378,0.115825037,0.115825035,0.115825035,2.303330625,2.300561311,2.293942372,1.991833759,1.589019758,1.32813133,1.177989005,0.695332757
29,Adenostoma,A,22,10,28,6160,25802.94766,8.725832057,68.12840352,28.34106562,55,30,31,130,105,75,75,75,44,64.66666667,,,,,NA,28.23415014,0,NA,0,2,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.433652029,1.542461439,0.476108961,11.75288446,15.9586422,5.119421639,0.399680852,3.521805521,0.740624773,1.225743576,0.359301985,0.348044084,0.485133631,0.993463235,0.279651835,2.07764534,0.378238108,3.123263655,2.935697331,2.617049687,2.311302904,1.841520179,1.669661512,1.319445916,0.981687159,0.399617604,0.399617604,0.3996169,0.3996169,0.3996169,0.399616805,0.380264635,2.723582845,2.536079727,2.217432083,1.911686004,1.441903279,1.270044612,0.919829111,0.601422525,2.43396999,2.406098072,2.37951173,2.124502376,1.767105834,1.59534485,1.245130583,0.907394468,2.03428918,2.006480468,1.979894127,1.724885476,1.367488935,1.19572795,0.845513778,0.527129833,0.337872786,0.292962391,0.07568049,0.07492475,0.074270234,0.074269998,0.074269997,0.074269997,1.586219914,1.583538923,1.57922532,1.381187075,1.115796826,0.944078928,0.845384877,0.527013247
30,Ceanothus,C,12,10,36,4320,18095.57368,8.371010681,69.01628698,25.55875612,40,40,40,60,88,65,20,48,25,31,0,0,0,0,14,22.32251757,0,NA,0,NA,NA,0.003,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.909303723,1.698890113,0.651968584,7.093491168,17.9196764,7.38740487,0.468691395,5.025229261,1.047164835,1.531590324,0.643317748,0.304780189,0.61434239,1.310532714,0.636524743,3.068158334,0.400733515,1.632384393,1.519358667,1.351484337,1.208466,1.072930154,1.012623589,0.899454469,0.762172394,0.468510026,0.468510026,0.468508295,0.468508295,0.468508295,0.468508129,0.45734864,1.163693091,1.050848642,0.882974312,0.739957705,0.604421859,0.544115294,0.43094634,0.304823754,1.315688169,1.301266349,1.284132046,1.164545152,1.040869991,0.980663575,0.867495863,0.730263259,0.846996867,0.832756323,0.815622021,0.696036857,0.572361696,0.51215528,0.398987734,0.272914619,0.170350526,0.145400909,0.032727952,0.032104854,0.031859939,0.031859674,0.031859672,0.031859672,0.680255867,0.679618722,0.67632758,0.584683296,0.49717266,0.437060797,0.3988996,0.272838273
